senseval2.d000.s003.t001 evoke%2:32:01::
senseval2.d000.s003.t015 faithful%1:14:00::
senseval2.d000.s011.t003 scrape%2:35:03::
senseval2.d000.s013.t005 rank%1:14:02::
senseval2.d000.s018.t016 concentration%1:07:01::
senseval2.d000.s020.t011 striking%1:04:00::
senseval2.d000.s027.t001 absorb%2:31:03::
senseval2.d000.s031.t003 solemn%5:00:01:serious:00
senseval2.d000.s033.t002 stay%2:42:04::
senseval2.d000.s034.t005 stick_on%2:35:00::
senseval2.d000.s035.t008 pub%1:06:00::
senseval2.d000.s038.t008 sack%2:41:00::
senseval2.d000.s042.t004 dustup%1:10:00::
senseval2.d000.s045.t000 so%4:02:09::
senseval2.d000.s047.t002 draw%2:35:06::
senseval2.d000.s048.t003 draw%2:35:06::
senseval2.d000.s050.t009 booklet%1:10:00::
senseval2.d000.s057.t000 bright%5:00:00:auspicious:00
senseval2.d000.s059.t007 galling%5:00:00:disagreeable:00
senseval2.d000.s059.t014 prestigious%5:00:00:reputable:00
senseval2.d000.s060.t007 surface%2:30:00::
senseval2.d000.s061.t003 red-blooded%5:00:00:healthy:00
senseval2.d000.s061.t006 remark%2:32:01::
senseval2.d000.s061.t015 make%2:36:07::
senseval2.d000.s062.t000 torrent%1:23:00::
senseval2.d000.s062.t007 male%5:00:02:masculine:01
senseval2.d001.s011.t006 discover%2:31:03::
senseval2.d001.s013.t009 in_concert%4:02:00::
senseval2.d001.s019.t007 chance%1:07:00::
senseval2.d001.s020.t010 suffer%2:39:02::
senseval2.d001.s035.t006 crucial%5:00:00:important:00
senseval2.d001.s048.t006 snippet%1:06:00::
senseval2.d001.s052.t001 satisfying%5:00:00:wholesome:00
senseval2.d001.s059.t004 bowel%1:08:00::
senseval2.d001.s059.t011 progress%2:30:01::
senseval2.d001.s064.t006 progress%2:30:01::
senseval2.d001.s066.t001 galvanize%2:37:00::
senseval2.d001.s068.t001 nail%2:40:00::
senseval2.d001.s076.t013 unknowingly%4:02:00::
senseval2.d001.s077.t003 obscure%5:00:00:inglorious:00
senseval2.d002.s006.t000 ask%2:42:00::
senseval2.d002.s011.t004 romantic%5:00:00:impractical:00
senseval2.d002.s011.t009 authoritarian%5:00:00:domineering:00
senseval2.d002.s011.t017 undefined%3:00:00::
senseval2.d002.s011.t019 inherent%5:00:00:implicit:00
senseval2.d002.s012.t003 romantic%5:00:00:impractical:00
senseval2.d002.s013.t006 decent%5:00:00:sufficient:00
senseval2.d002.s021.t006 schoolteacher%1:18:00::
senseval2.d002.s024.t002 schoolteacher%1:18:00::
senseval2.d002.s033.t001 equity%1:07:00::
senseval2.d002.s034.t000 silly%5:00:00:undignified:00
senseval2.d002.s036.t007 strike%2:38:08::
senseval2.d002.s036.t009 posture%1:09:00::
senseval2.d002.s036.t011 important%5:00:00:influential:00
senseval2.d002.s041.t009 beforehand%4:02:00::
senseval2.d002.s048.t001 childcare%1:04:00::
senseval2.d002.s049.t004 schooling%1:09:00::
senseval2.d002.s053.t001 kid%1:18:01::
senseval2.d002.s054.t002 option%1:09:00::
senseval2.d002.s058.t004 governance%1:04:00::
senseval2.d002.s061.t015 reason%1:10:00::
senseval2.d002.s067.t015 enter%2:30:10::
senseval2.d002.s071.t003 textbook%1:10:00::
senseval2.d002.s072.t001 modish%5:00:00:fashionable:00
senseval2.d002.s072.t005 silly%5:00:00:undignified:00
senseval2.d002.s074.t014 textbook%1:10:00::
senseval2.d002.s077.t011 head%1:18:01::
senseval3.d000.s001.t002 bleary%5:00:00:indistinct:00
senseval3.d000.s009.t002 tie%2:41:01::
senseval3.d000.s013.t001 howl%2:32:01::
senseval3.d000.s014.t004 on_the_spur_of_the_moment%4:02:00::
senseval3.d000.s018.t005 safe%5:00:00:sound:00
senseval3.d000.s029.t002 screwball%1:18:00::
senseval3.d000.s032.t001 weak%5:00:00:perceptible:00
senseval3.d000.s035.t001 crease%1:25:01::
senseval3.d000.s041.t001 somebody%1:03:00::
senseval3.d000.s066.t007 relieve%2:37:00::
senseval3.d000.s068.t004 hit_the_sack%2:29:00::
senseval3.d000.s076.t003 startle%2:38:00::
senseval3.d000.s076.t005 front%1:15:03::
senseval3.d000.s078.t002 foreboding%5:00:00:prophetic:00
senseval3.d000.s082.t003 sickening%5:00:00:unwholesome:00
senseval3.d000.s090.t002 lousy%5:00:00:nasty:00
senseval3.d000.s097.t000 tight%5:00:00:intoxicated:00
senseval3.d000.s100.t004 pet%1:18:00::
senseval3.d000.s110.t007 crossing%1:06:01::
senseval3.d000.s115.t003 moody%5:00:00:ill-natured:00
senseval3.d000.s120.t012 bright%5:00:00:reverberant:00 bright%5:00:00:happy:00
senseval3.d000.s141.t000 nut%1:18:02::
senseval3.d000.s143.t001 cunning%5:00:00:artful:00
senseval3.d000.s156.t001 prove%2:41:03::
senseval3.d001.s000.t002 hopeful%1:18:00::
senseval3.d001.s009.t026 attendant%5:00:00:subsequent:00
senseval3.d001.s010.t017 confer%2:40:00::
senseval3.d001.s020.t003 disdain%1:12:00::
senseval3.d001.s041.t024 onerous%5:00:00:heavy:02
senseval3.d001.s044.t003 line%1:09:00::
senseval3.d002.s000.t008 solace%1:04:00::
senseval3.d002.s002.t001 make%2:38:10::
senseval3.d002.s002.t009 phone_line%1:06:00::
senseval3.d002.s004.t001 subscriber%1:18:01::
senseval3.d002.s006.t002 traffic%1:04:02::
senseval3.d002.s007.t004 subscriber%1:18:01::
senseval3.d002.s011.t000 avenue%1:06:00::
senseval3.d002.s011.t008 ok%5:00:00:satisfactory:00
senseval3.d002.s016.t001 temblor%1:11:00::
senseval3.d002.s017.t002 temblor%1:11:00::
senseval3.d002.s035.t001 fill%1:27:00::
senseval3.d002.s047.t001 damn%5:00:02:cursed:00
senseval3.d002.s081.t008 general_store%1:06:00::
senseval3.d002.s082.t000 quiver%1:26:00:: quiver%1:04:00::
senseval3.d002.s083.t001 distressed%3:00:04::
senseval3.d002.s086.t012 ooze%2:38:00::
senseval3.d002.s088.t002 surreal%5:00:00:unreal:02
senseval3.d002.s100.t003 trash_can%1:06:00::
senseval3.d002.s103.t001 picture%1:06:02::
senseval3.d002.s109.t009 like_crazy%4:02:00::
senseval3.d002.s115.t001 unscathed%5:00:00:uninjured:00
senseval3.d002.s116.t003 get_through%2:32:00::
senseval3.d002.s116.t004 phone_line%1:06:00::
senseval3.d002.s125.t008 slither%2:38:00::
senseval3.d002.s140.t001 homeless%5:00:00:unfortunate:00
senseval3.d002.s140.t008 good_morning%1:10:00::
semeval2007.d000.s002.t001 statement%1:10:06::
semeval2007.d000.s006.t004 multitude%1:23:00::
semeval2007.d000.s026.t001 stop%2:42:13::
